,TMP,OXYGEN,SAL,TCARBN,ALKALI,PHSPHT,SILCAT,PRS,PH
5161,9.62,273.3,32.309101,1990.3,2282.0,0.73,8.21,51.0,8.3039999
5162,8.65,188.4,32.837399,2088.1,2294.7,1.57,24.91,75.5,8.1400003
5163,8.31,159.3,33.325298,2132.0,2339.9,1.84,26.95,100.4,8.1339998
5164,7.44,116.7,33.736099,2189.8,2360.1,2.25,38.95,151.4,8.052
5165,7.03,111.0,33.842999,2200.4,2363.7,2.32,42.85,200.8,8.0380001
5166,6.19,87.8,33.933102,2234.2,2370.2,2.57,54.95,300.6,7.9759998
5167,5.56,57.0,33.993099,2268.8,2377.9,2.85,69.01,401.0,7.9060001
5168,4.45,20.0,34.134998,2321.5,2418.4,3.19,97.69,601.4,7.8730001
5169,3.94,12.8,34.238998,2345.4,2462.6,3.28,113.79,801.3,7.9260001
5192,8.38,299.0,32.5709,2001.0,2272.3,0.87,8.21,0.8,8.2860003
5193,8.37,298.7,32.563599,2001.0,2275.1,0.86,8.21,24.8,8.29
5194,8.33,299.1,32.563599,2002.2,2279.7,0.86,8.4,50.2,8.2959995
5195,7.89,293.4,32.586899,2011.2,2297.2,0.94,9.18,76.8,8.3140001
5196,7.31,259.6,32.9534,2053.4,2339.7,1.26,16.31,104.1,8.3109999
5197,6.59,187.8,33.768002,2151.9,2353.7,1.85,35.34,150.9,8.1389999
5198,5.93,151.7,33.859901,2191.9,2365.9,2.14,46.95,201.1,8.0810003
5199,4.78,95.1,33.890202,2249.9,2386.4,2.64,65.4,303.7,7.9980001
5200,4.35,56.1,33.979198,2288.4,2392.5,2.89,81.02,407.3,7.9089999
5201,4.35,60.2,33.979198,2288.1,2421.6,2.89,80.72,407.3,7.987
5233,7.78,302.9,32.561199,2006.5,2286.9,0.96,9.48,1.7,8.3100004
5234,7.57,304.4,32.560299,2006.6,2254.5,0.96,9.28,24.5,8.2559996
5235,7.46,302.7,32.5644,2009.8,2260.3,0.98,9.28,50.6,8.2609997
5236,7.13,302.2,32.584801,2016.7,2273.4,1.08,11.92,74.7,8.2749996
5237,6.29,268.2,32.896301,2058.3,2297.6,1.39,20.12,101.6,8.2449999
5239,5.67,138.5,33.860401,2204.1,2367.8,2.26,53.49,203.1,8.0600004
5241,4.13,65.3,33.978199,2286.0,2389.3,2.87,87.26,403.8,7.9099998
5242,3.71,31.2,34.1418,2325.2,2424.5,3.05,109.41,603.6,7.8920002
5297,6.56,312.8,32.639801,2025.5,2285.4,1.19,18.37,25.0,8.2889996
5298,6.35,311.5,32.644299,2027.3,2305.3,1.21,18.37,51.1,8.3219995
5299,6.03,309.5,32.6441,2031.4,2294.7,1.24,18.37,75.2,8.3000002
5300,5.63,306.4,32.667099,2034.9,2296.3,1.3,19.83,101.1,8.3009996
5302,4.56,134.7,33.784,2226.5,2383.1,2.47,63.94,201.3,8.0579996
5303,4.08,86.9,33.873699,2267.3,2402.9,2.76,80.34,302.8,8.0039997
5305,3.59,31.4,34.144798,2333.8,2423.8,3.07,114.48,600.1,7.8660002
5306,3.18,24.4,34.265099,2351.4,2447.8,3.12,130.37,799.0,7.8790002
5310,1.93,57.3,34.547901,2375.3,2507.1,3.0,167.32,1999.5,7.9400001
5315,1.5,138.3,34.645802,2332.4,2523.9,2.61,163.02,4000.5,8.0100002
5316,1.52,141.3,34.6488,2333.0,2518.6,2.6,166.53,4325.8,7.9840002
5483,15.44,269.0,31.969999,1924.8,2208.6,0.38,6.35,1.0,8.217
5484,15.0,270.1,31.99,1929.1,2250.1,0.4,6.06,11.7,8.2819996
5485,12.23,276.1,32.259998,1971.6,2269.2,0.65,6.74,26.9,8.2779999
5486,9.4,278.2,32.549999,2007.4,2277.1,0.81,8.01,52.0,8.2650003
5487,8.64,208.6,32.970001,2086.7,2266.0,1.37,18.37,77.0,8.0819998
5488,8.17,151.7,33.509998,2148.9,2322.0,1.87,28.22,102.6,8.059
5489,7.53,116.9,33.889999,2195.1,2317.3,2.16,38.17,151.6,7.9320002
5490,6.9,106.1,33.950001,2215.6,2363.7,2.3,44.61,199.3,8.0019999
5491,6.27,79.9,34.040001,2244.2,2336.4,2.54,56.03,301.9,7.8540001
5492,5.62,55.0,34.080002,2269.6,2392.0,2.77,68.32,401.2,7.941
5493,4.74,21.7,34.209999,2319.5,2412.2,3.08,91.55,599.8,7.8569999
5494,4.11,10.3,34.330002,2351.2,2461.6,3.2,111.74,799.2,7.9039998
5537,14.85,262.7,32.389999,1952.8,2258.9,0.38,1.27,1.9,8.2530003
5538,14.84,263.0,32.389999,1950.3,2228.7,0.38,1.47,10.2,8.2080002
5539,14.82,274.8,32.439999,1955.8,2285.5,0.37,1.27,24.2,8.2869997
5540,10.19,295.4,32.59,1999.1,2267.5,0.83,6.35,50.7,8.2510004
5541,7.98,284.5,32.610001,2024.0,2269.8,1.04,14.95,75.8,8.2410002
5542,7.29,247.5,32.869999,2063.3,2303.3,1.33,17.78,99.3,8.2299995
5543,6.73,168.4,33.77,2160.6,2320.0,1.97,38.86,149.2,8.0430002
5544,5.97,142.9,33.91,2199.8,2329.2,2.19,48.52,200.7,7.9720001
5545,4.88,92.6,33.950001,2252.2,2344.5,2.62,66.28,299.2,7.875
5549,3.09,14.3,34.400002,2372.6,2431.3,3.18,139.35,1002.7,7.757
5708,13.27,275.8,32.630001,1985.2,2293.5,0.86,13.68,25.9,8.2700005
5709,8.08,309.1,32.810001,2026.7,2316.8,1.14,15.92,50.0,8.3129997
5710,6.3,303.9,32.860001,2045.2,2314.2,1.28,17.98,75.4,8.302
5711,5.83,285.7,33.009998,2064.0,2320.6,1.42,21.3,100.0,8.2819996
5713,4.7,152.0,33.84,2218.4,2349.6,2.33,59.94,200.3,7.994
5714,4.16,90.5,33.950001,2272.2,2376.2,2.72,79.17,299.9,7.9180002
5715,3.92,61.3,34.060001,2301.9,2402.3,2.91,93.12,398.6,7.9029999
5718,2.91,21.0,34.419998,2375.2,2436.5,3.13,140.52,1000.6,7.7680001
5726,1.58,109.0,34.700001,2354.6,2479.6,2.72,166.83,3000.3,7.8889999
5727,1.51,127.1,34.709999,2344.9,2481.3,2.62,164.87,3502.2,7.9000001
5728,1.49,137.7,34.73,2338.2,2486.9,2.58,164.87,4000.4,7.9120002
5896,8.55,273.3,32.3461,2006.6,2238.6,0.92,12.41,2.2,8.2139997
5897,8.69,269.0,32.449299,2016.6,2229.2,0.95,11.43,25.1,8.1700001
5898,8.7,267.7,32.4589,2017.6,2205.2,0.97,12.41,50.5,8.1160002
5900,8.42,92.3,33.810799,2203.7,2275.8,2.32,39.05,102.2,7.7740002
5901,8.16,77.0,33.8946,2224.1,2277.3,2.44,43.83,151.2,7.7129998
5902,7.9,75.7,33.926601,2225.8,2283.6,2.46,44.32,200.0,7.73
5904,5.72,54.9,34.027599,2272.8,2314.1,2.78,66.96,397.9,7.6950002
5905,4.66,21.1,34.147202,2324.2,2434.6,3.08,92.52,597.6,7.908
5906,4.03,10.0,34.2981,2354.6,2405.8,3.22,113.98,798.4,7.7290001
5907,3.53,10.6,34.385101,2369.4,2438.5,3.23,128.22,1000.0,7.783
5929,5.94,292.6,32.7276,2043.4,2248.2,1.23,18.76,30.2,8.1899996
5930,5.94,292.7,32.7276,2040.4,2250.3,1.22,17.88,39.7,8.1999998
5931,5.94,292.9,32.728298,2040.2,2263.1,1.22,18.56,50.2,8.2259998
5932,5.94,292.7,32.727501,2039.4,2261.1,1.22,18.56,59.5,8.2229996
5934,5.96,288.8,32.776798,2041.1,2240.5,1.24,18.17,99.1,8.1750002
5935,5.52,220.6,33.598801,2140.8,2304.0,1.72,34.66,124.7,8.0760002
5937,4.76,157.5,33.768101,2212.6,2343.9,2.24,56.23,174.5,7.9959998
5938,4.52,131.8,33.807201,2232.2,2331.8,2.4,63.06,199.9,7.9089999
5939,4.22,103.8,33.855301,2261.2,2325.3,2.61,73.31,250.0,7.8010001
5940,4.12,84.7,33.9188,2276.9,2358.1,2.7,80.04,299.5,7.8520002
5941,4.05,64.8,34.038898,2298.3,2341.7,2.83,90.87,399.1,7.7259998
5942,3.81,42.9,34.116699,2325.0,2368.7,2.95,102.38,498.5,7.724
5964,8.29,281.4,32.562698,2009.4,2238.5,0.87,8.7,51.4,8.2080002
5965,8.16,278.7,32.5574,2013.0,2243.9,0.88,8.6,74.5,8.2119999
5966,8.07,272.7,32.5756,2017.4,2248.7,0.96,9.87,99.6,8.2119999
5967,6.97,186.6,33.786598,2147.5,2288.5,1.79,33.0,151.4,7.9949999
5969,5.32,91.4,33.923199,2244.8,2328.1,2.57,63.45,299.9,7.842
5970,4.81,51.0,33.9981,2288.4,2333.2,2.87,78.57,399.1,7.7199998
5971,3.94,29.4,34.121899,2327.9,2358.0,3.07,104.14,600.1,7.6719999
5972,3.54,14.5,34.268101,2356.7,2382.7,3.13,121.99,800.0,7.6539998
6015,11.87,275.6,32.480301,1975.4,2214.6,0.68,7.13,3.0,8.1789999
6016,9.47,298.0,32.5387,1982.4,2233.3,0.73,8.4,49.3,8.2349997
6017,8.41,290.9,32.593399,2000.1,2212.9,0.86,9.97,74.5,8.1739998
6019,7.17,200.9,33.5382,2122.3,2259.8,1.67,28.41,148.4,7.9889998
6020,6.91,165.1,33.899502,2163.4,2306.2,1.89,39.34,200.8,7.9959998
6021,5.32,109.2,33.8955,2224.9,2307.2,2.45,60.52,300.2,7.8410001
6022,4.61,68.2,33.9505,2270.8,2322.3,2.77,77.11,400.5,7.7459998
6023,4.08,22.9,34.131599,2321.7,2352.4,3.05,103.55,599.3,7.6719999
6024,3.7,12.6,34.257198,2344.9,2392.2,3.13,118.77,798.9,7.723
6025,3.29,11.3,34.362202,2363.9,2399.0,3.18,133.88,1001.4,7.678
6167,9.94,288.5,32.653999,2007.3,2227.4,1.07,16.22,1.5,8.165
6168,8.79,296.3,32.655602,2007.7,2237.3,1.08,16.9,24.8,8.1999998
6169,6.81,304.6,32.677502,2024.9,2235.9,1.19,17.39,50.3,8.191
6170,5.92,299.9,32.766998,2037.1,2244.7,1.25,17.68,75.7,8.1949997
6171,5.54,277.0,32.9454,2065.6,2243.9,1.43,23.44,100.3,8.1300001
6172,4.38,128.9,33.7985,2228.9,2319.4,2.49,67.36,201.4,7.8850002
6173,4.02,87.4,33.900501,2265.7,2342.1,2.74,82.0,300.1,7.8390002
6174,3.92,59.2,34.021,2295.9,2363.8,2.91,96.24,399.5,7.8070002
6175,3.59,30.4,34.186699,2331.4,2374.4,3.04,117.6,601.2,7.7199998
6176,3.17,22.0,34.298599,2351.7,2387.6,3.1,133.79,802.6,7.6919999
6178,2.55,16.5,34.452499,2380.9,2416.8,3.14,156.22,1250.3,7.6799998
6180,2.08,39.9,34.552101,2379.1,2442.4,3.02,167.52,1750.9,7.7540002
6181,1.92,56.5,34.584999,2372.0,2454.8,2.95,170.06,2000.1,7.8049998
6184,1.62,97.3,34.6437,2350.5,2462.5,2.76,169.76,2748.9,7.8639998
6186,1.51,125.1,34.671398,2333.4,2459.5,2.62,166.63,3501.5,7.875
6187,1.5,134.6,34.6805,2327.9,2459.7,2.58,166.14,4000.5,7.8699999
6188,1.51,137.0,34.683102,2329.0,2463.1,2.57,167.6,4201.5,7.868
6189,1.52,139.7,34.683701,2328.8,2467.9,2.57,168.0,4312.1,7.8759999
6255,3.5,16.4,34.220001,2346.5,2425.0,3.11,121.21,600.4,7.8319998
6256,3.11,19.4,34.305698,2357.8,2433.8,3.12,134.77,800.9,7.8200002
6526,16.49,250.5,32.494301,1946.4,2208.4,0.53,8.5,0.6,8.1529999
6527,16.5,250.9,32.493599,1945.2,2230.0,0.52,9.48,9.7,8.191
6528,15.79,264.5,32.451599,1945.8,2210.5,0.53,9.87,25.7,8.1669998
6530,6.97,285.2,32.830299,2034.4,2242.9,1.1,15.24,75.4,8.1800003
6531,6.82,229.3,33.328499,2096.5,2271.6,1.48,25.88,100.7,8.0939999
6532,6.53,179.1,33.844002,2166.4,2294.1,1.84,40.32,151.6,7.9650002
6533,5.92,146.8,33.8634,2197.8,2306.0,2.12,50.08,199.6,7.915
6534,4.82,100.2,33.8797,2245.1,2312.0,2.56,68.72,300.3,7.7989998
6535,4.27,66.8,33.979599,2281.4,2341.1,2.81,84.43,400.7,7.777
6536,3.75,27.4,34.1577,2328.9,2366.2,3.06,109.89,600.9,7.6989999
6538,3.0,14.9,34.355598,2364.1,2401.5,3.19,141.01,1001.8,7.6900001
6609,14.9,261.1,32.5079,1967.4,2209.6,0.79,16.81,25.1,8.1359997
6610,6.78,316.4,32.672199,2026.6,2221.0,1.17,18.17,49.4,8.1569996
6611,5.55,304.8,32.716,2038.0,2240.1,1.34,20.32,75.7,8.1890001
6614,4.4,122.4,33.809898,2235.3,2289.7,2.54,67.94,199.6,7.77
6617,3.54,26.4,34.1982,2337.7,2363.1,3.09,118.58,599.3,7.6609998
6618,3.14,20.2,34.313099,2357.6,2396.5,3.13,133.4,800.6,7.7020001
6619,2.86,18.4,34.381699,2373.8,2407.6,3.15,143.83,1000.2,7.6799998
8101,7.0,320.4,32.839699,2043.9,2217.2,1.17,18.27,1.4,8.1040001
8102,6.35,326.0,32.864399,2051.1,2212.6,1.19,18.56,48.6,8.0830002
8103,5.53,325.5,32.922298,2062.1,2225.2,1.27,20.61,74.5,8.0970001
8104,5.23,316.2,32.9659,2070.8,2227.9,1.37,21.78,102.8,8.0839996
8105,5.99,169.8,33.844601,2185.8,2284.6,1.97,44.61,151.2,7.8909998
8106,5.08,142.6,33.834202,2220.0,2289.3,2.26,57.4,202.4,7.8099999
8107,4.28,91.7,33.895199,2269.7,2306.0,2.6,75.26,302.5,7.7049999
8108,4.31,52.2,34.0285,2304.5,2326.4,2.82,87.55,402.5,7.6490002
8109,3.76,34.2,34.1702,2327.6,2376.6,2.92,108.14,602.4,7.737
8111,2.97,18.6,34.362099,2371.8,2396.6,3.0,138.27,1000.8,7.6490002
8112,2.6,22.2,34.442799,2382.7,2413.3,3.01,150.46,1237.9,7.6630001
8113,2.32,29.5,34.5023,2389.7,2417.8,2.97,160.89,1503.9,7.6469998
8114,2.1,44.5,34.547699,2388.1,2422.4,2.92,163.82,1752.2,7.6599998
8115,1.93,62.1,34.5839,2383.1,2433.6,2.85,166.74,2000.6,7.7049999
8116,1.81,75.5,34.606998,2373.8,2439.6,2.8,168.0,2254.0,7.7449999
8117,1.71,91.6,34.627701,2365.5,2443.3,2.72,168.39,2502.1,7.7729998
8118,1.63,105.4,34.6432,2354.4,2446.4,2.65,167.12,2754.7,7.8070002
8119,1.58,114.6,34.653599,2350.8,2447.9,2.61,165.85,2999.0,7.8130002
8120,1.51,133.2,34.6698,2342.1,2449.7,2.54,164.87,3496.7,7.8239999
8121,1.5,144.2,34.678101,2333.9,2450.5,2.49,165.65,3995.8,7.8299999
8122,1.51,146.9,34.681198,2340.9,2443.2,2.47,165.46,4282.1,7.7779999
8140,8.14,312.6,32.730598,2029.4,2241.4,0.92,13.19,1.7,8.1730003
8141,8.14,312.7,32.730801,2026.0,2246.8,0.93,13.19,8.8,8.191
8142,7.99,313.1,32.731701,2031.9,2229.8,0.93,12.99,24.9,8.1450005
8143,7.62,316.6,32.742699,2043.3,2229.2,0.91,13.19,51.3,8.1230001
8144,6.05,321.0,32.804901,2054.5,2246.8,1.06,16.02,76.1,8.158
8147,5.71,139.3,33.893299,2217.0,2301.4,2.14,54.96,200.2,7.8470001
8148,4.83,96.6,33.9245,2259.4,2304.9,2.49,71.06,300.4,7.7280002
8149,4.34,63.0,34.010502,2296.3,2326.4,2.72,86.87,398.3,7.677
8150,3.78,34.3,34.1661,2336.3,2374.2,2.9,110.38,597.4,7.7010002
8151,3.35,45.8,34.282902,2364.0,2387.3,2.97,128.13,798.0,7.6479998
8152,2.95,40.0,34.376801,2379.1,2404.6,2.99,141.98,999.5,7.651
8153,2.59,44.7,34.448898,2390.3,2425.9,2.98,153.49,1249.6,7.6789999
8157,1.82,83.2,34.6073,2374.8,2443.3,2.76,169.57,2248.1,7.7529998
8160,1.58,133.0,34.653198,2357.2,2453.5,2.57,169.75,2999.4,7.8099999
8161,1.53,144.2,34.668098,2345.2,2452.6,2.51,169.36,3499.8,7.823
8172,4.35,66.9,34.011398,2297.7,2336.7,2.72,85.41,401.4,7.7069998
8173,3.79,42.2,34.1712,2340.7,2362.2,2.93,109.31,598.8,7.645
8261,12.19,303.2,31.594601,1884.9,2151.9,0.17,1.56,1.6,8.2519999
8262,11.97,304.4,31.6194,1885.6,2156.8,0.18,1.66,11.5,8.2620001
8263,9.24,266.8,32.116901,2004.2,2180.9,0.77,7.23,24.8,8.0909996
8264,8.25,267.2,32.716801,2048.1,2201.1,1.06,16.12,50.9,8.0349998
8265,7.81,241.8,32.999298,2084.4,2216.3,1.3,19.63,76.2,7.9790001
8266,7.83,161.4,33.595501,2167.7,2249.2,1.84,32.61,99.9,7.8179998
8267,7.49,132.0,33.905399,2201.7,2270.2,2.07,39.44,149.2,7.7740002
8268,6.87,131.9,33.948399,2219.3,2270.1,2.17,46.07,199.8,7.7220001
8269,5.85,81.0,34.002998,2267.4,2305.8,2.52,62.18,300.3,7.6890001
8270,5.25,64.9,34.049099,2327.2,2306.3,2.72,75.55,400.4,7.4910002
8271,4.57,49.9,34.190601,2330.8,2340.2,2.95,96.03,602.1,7.5929999
8272,4.04,43.2,34.300701,2358.9,2364.6,3.04,112.81,801.1,7.5780001
8273,3.56,39.7,34.398102,2396.4,2387.3,3.06,127.63,1002.5,7.527
8274,3.09,47.2,34.455502,2382.6,2406.9,3.03,140.12,1250.0,7.6339998
8361,12.76,290.5,32.648499,2001.6,2201.3,1.03,19.25,1.5,8.0799999
8362,12.74,290.7,32.647999,2002.3,2202.6,1.05,19.05,10.1,8.0810003
8363,12.47,294.3,32.655499,2025.7,2206.8,1.06,19.25,25.1,8.04
8364,6.81,328.3,32.794201,2037.6,2207.5,1.22,19.44,50.0,8.0979996
8365,5.4,324.3,32.8307,2048.0,2207.9,1.34,20.03,75.4,8.0939999
8366,5.21,323.5,32.858299,2085.8,2208.3,1.38,21.3,97.8,7.9949999
8367,5.47,186.2,33.654598,2194.5,2226.3,2.09,45.1,148.5,7.684
8368,4.89,126.0,33.819199,2224.6,2275.4,2.5,62.28,199.9,7.7509999
8369,4.24,105.8,33.824001,2250.3,2297.4,2.66,72.33,249.1,7.7449999
8370,4.13,99.2,33.878601,2271.6,2309.2,2.77,79.46,299.5,7.711
8371,4.02,58.5,34.008598,2328.3,2314.6,2.92,92.82,399.1,7.5320001
8373,3.27,19.2,34.285198,2369.1,2364.9,3.12,129.3,800.9,7.5560002
8374,2.91,21.9,34.359699,2387.6,2381.7,3.12,141.39,1000.2,7.5469999
8375,2.58,20.3,34.435398,2398.3,2393.9,3.13,153.19,1249.7,7.5450001
8376,2.3,29.8,34.494099,2396.9,2402.6,3.09,160.79,1498.6,7.572
8377,2.08,45.0,34.542099,2395.4,2404.6,3.03,165.08,1749.7,7.5760002
8378,1.93,62.3,34.573502,2387.0,2409.7,2.94,167.42,1998.7,7.6129999
8379,1.82,74.5,34.5952,2379.9,2412.4,2.91,168.49,2250.1,7.6360002
8382,1.52,134.7,34.6581,2355.7,2435.3,2.64,164.48,3499.2,7.7410002
8383,1.51,145.2,34.666302,2348.7,2439.1,2.6,164.48,3999.9,7.7540002
8504,7.09,292.4,31.4629,1995.6,2129.5,1.37,28.17,2.3,8.0279999
8506,7.22,290.6,31.552,2001.2,2131.4,1.33,27.48,24.9,8.0109997
8508,7.46,297.0,31.733601,2002.0,2140.8,1.27,24.82,75.6,8.0190001
8614,7.78,295.4,31.7131,2004.1,2153.2,1.07,19.16,2.2,8.0530005
8615,7.86,255.3,31.7456,2005.0,2152.2,1.03,18.48,10.0,8.0459995
8616,8.26,287.9,31.896099,2005.2,2155.7,0.98,15.84,25.0,8.0459995
8618,8.45,278.7,32.301701,2015.9,2172.2,0.95,13.68,75.3,8.0489998
8619,8.42,239.1,32.403999,2022.7,2182.0,0.98,13.78,99.7,8.0539999
8620,7.92,266.9,32.611599,2047.8,2196.6,1.06,14.56,149.3,8.0270004
8621,7.57,148.3,33.577702,2171.9,2231.7,1.98,34.76,199.2,7.7490001
8622,7.43,132.2,33.651798,2187.6,2245.8,2.12,36.91,221.2,7.743
8631,7.71,349.5,31.489,1986.3,2129.8,1.15,21.81,2.4,8.0439997
8632,7.71,295.9,31.492001,1990.6,2121.6,1.14,21.91,10.0,8.0100002
8634,8.15,283.2,31.789801,1997.6,2140.9,1.1,19.36,51.0,8.0299997
8635,8.34,273.9,32.204399,2020.6,2162.4,1.08,17.3,75.8,8.0139999
8636,8.21,243.0,32.4594,2051.7,2180.7,1.28,21.89,101.4,7.974
8638,7.43,128.8,33.701801,2189.8,2248.7,2.1,38.56,199.4,7.7449999
8639,6.95,162.2,33.8727,2215.7,2260.0,2.3,48.13,230.9,7.6989999
8695,7.21,293.0,32.441601,2041.2,2177.7,1.34,23.94,9.3,8.0150003
8696,7.19,292.6,32.444801,2044.5,2185.3,1.33,23.94,24.0,8.0249996
8697,7.19,292.1,32.4459,2041.3,2183.5,1.34,24.33,50.5,8.0279999
8698,7.2,309.6,32.448101,2041.8,2175.8,1.34,24.53,74.8,8.0050001
8700,7.51,212.3,33.263199,2134.3,2228.9,1.84,34.48,152.1,7.8670001
8701,7.05,125.7,33.7104,2208.5,2260.3,2.22,46.46,200.0,7.724
8703,5.35,68.7,33.979401,2269.0,2289.0,2.68,69.01,402.4,7.6290002
8704,4.51,27.8,34.120998,2319.9,2325.5,3.01,93.01,600.9,7.5809999
8705,3.96,16.9,34.232601,2348.7,2347.4,3.09,111.06,799.2,7.5560002
8706,3.37,14.3,34.333401,2363.7,2371.4,3.14,129.69,1000.2,7.586
8707,2.83,17.4,34.415501,2379.9,2385.0,3.12,146.85,1250.0,7.573
8913,7.71,317.0,32.6213,2035.0,2202.9,1.16,20.32,2.1,8.0830002
8914,7.7,318.4,32.626499,2035.3,2194.1,1.17,19.93,10.6,8.0609999
8915,7.66,320.1,32.6819,2035.1,2196.5,1.17,20.13,24.6,8.0679998
8916,5.92,330.9,32.7174,2048.5,2199.9,1.28,22.28,50.5,8.0670004
8917,5.01,325.4,32.738098,2059.0,2207.1,1.39,24.23,74.6,8.0710001
8918,4.41,300.8,32.920799,2089.6,2212.3,1.56,29.99,98.8,8.007
8919,4.49,139.5,33.7202,2229.6,2272.9,2.38,60.14,151.1,7.7360001
8920,4.29,110.7,33.806599,2257.7,2284.7,2.56,69.51,200.4,7.6789999
8921,4.2,86.2,33.8825,2278.4,2291.3,2.68,77.51,250.1,7.6279998
8922,4.18,73.7,33.945499,2306.3,2297.2,2.74,84.04,300.0,7.5500002
8923,3.91,49.0,34.0359,2328.6,2316.4,2.9,97.02,399.1,7.539
8924,3.56,29.8,34.219299,2354.2,2341.2,2.98,119.45,601.4,7.5310001
8925,3.19,20.3,34.308899,2367.7,2361.7,3.03,133.89,800.3,7.5510001
8926,2.85,17.3,34.388,2381.9,2374.3,3.05,145.2,1002.5,7.5409999
8927,2.52,20.3,34.458698,2392.0,2388.6,3.05,157.39,1250.0,7.5489998
8928,2.27,29.8,34.5121,2394.4,2404.7,3.02,164.21,1503.3,7.5869999
8929,2.05,45.7,34.558899,2391.5,2410.7,2.95,168.21,1749.5,7.6100001
8930,1.9,61.3,34.5896,2383.5,2415.3,2.88,170.54,1997.7,7.6440001
8931,1.81,73.9,34.608299,2377.2,2417.9,2.82,171.13,2251.8,7.664
8932,1.72,88.6,34.6269,2371.5,2417.3,2.76,171.32,2501.1,7.6719999
8933,1.57,114.6,34.6549,2354.2,2428.8,2.62,169.56,2999.6,7.7459998
8934,1.51,132.7,34.670601,2339.3,2428.2,2.55,168.0,3503.7,7.77
9002,10.57,300.6,32.4468,1995.9,2177.1,0.7,12.22,1.1,8.0780001
9003,10.53,301.9,32.4459,1991.9,2173.4,0.7,12.22,9.4,8.0799999
9004,9.8,306.2,32.4548,1994.7,2169.8,0.7,12.41,25.2,8.0760002
9005,7.79,282.9,32.599602,2039.1,2178.2,1.04,16.42,49.1,8.0100002
9006,7.37,227.5,32.901199,2094.3,2194.2,1.45,26.47,74.7,7.8959999
9007,7.03,198.1,33.271999,2128.9,2215.1,1.67,31.25,100.8,7.8520002
9008,7.27,147.0,33.665501,2180.0,2245.7,1.97,38.08,122.5,7.7740002
9009,6.99,119.7,33.884499,2209.6,2263.8,2.16,44.71,150.0,7.7350001
9010,6.36,105.8,33.927299,2228.6,2263.2,2.3,52.52,200.7,7.6750002
9011,5.84,92.9,33.9436,2247.0,2267.9,2.45,59.25,250.7,7.632
9012,5.43,76.8,33.962502,2264.3,2284.2,2.59,66.86,301.1,7.632
9013,4.77,52.4,34.013901,2297.4,2295.9,2.8,81.11,402.3,7.5619998
9014,4.36,34.3,34.106899,2320.7,2314.3,2.96,94.97,503.8,7.546
9015,4.14,24.0,34.187099,2341.8,2329.2,3.03,105.21,598.3,7.5240002
9016,3.57,17.7,34.2906,2361.4,2353.1,3.08,123.54,800.2,7.5380001
9017,3.15,14.3,34.362202,2377.4,2367.8,3.08,137.39,997.4,7.5310001
9082,10.39,303.1,32.252899,1983.3,2172.7,0.68,2.93,1.0,8.1040001
